,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
25,0.16679606437683106,0.022030940897945824,0.017600536346435547,0.006636132996608127,30,48,5,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 48), ('model__min_samples_split', 5)])",0.5878543684422921,0.645422575809985,0.6701346852300243,0.7208902628848151,0.377996007725124,0.49249646892655363,0.3310435402974749,0.6639299383132965,0.6858075554955199,0.2490008555090279,0.5424576258634113,0.16014479083013713,36
26,0.2114466428756714,0.026971351829813205,0.013799953460693359,0.0018744840529709799,17,12,2,"OrderedDict([('model__max_depth', 17), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.678122838118298,0.6387414605672778,0.688226031938199,0.7271894456935317,0.37392446385333794,0.5123506500057651,0.3943650553441716,0.6371218875230762,0.6568832455310909,0.2921176099779369,0.5599042688552684,0.14695985205244597,18
27,0.18329765796661376,0.030385282525456737,0.017450165748596192,0.003053692977220586,13,12,56,"OrderedDict([('model__max_depth', 13), ('model__min_samples_leaf', 12), ('model__min_samples_split', 56)])",0.6768329153695375,0.6246468926553672,0.7062858512048888,0.7340687334255735,0.37471895537876165,0.4921784921595757,0.3857931943964026,0.7010977531631319,0.6612553469314242,0.18927191679049035,0.5546150051475154,0.1749617129024603,27
28,0.1905977487564087,0.015122464850524923,0.015550184249877929,0.001890111084877693,18,12,60,"OrderedDict([('model__max_depth', 18), ('model__min_samples_leaf', 12), ('model__min_samples_split', 60)])",0.6813413395019025,0.6353536117836966,0.7034700002882508,0.740488621295976,0.3701060402974749,0.4961023074484031,0.3779644802836389,0.6788626232608402,0.674438290783016,0.2500796974199649,0.5608207012363163,0.16435009474174922,14
29,0.20139713287353517,0.008105013344031098,0.013550209999084472,0.001491417183504356,18,12,2,"OrderedDict([('model__max_depth', 18), ('model__min_samples_leaf', 12), ('model__min_samples_split', 2)])",0.6731676251008878,0.6311235299204427,0.6963231796956071,0.7302611192782198,0.3735506384757293,0.512492973884469,0.39999045168915026,0.6311684452249088,0.6693601693007339,0.29892926291143235,0.5616367395481581,0.14601965561492167,9
30,0.16519832611083984,0.016220216578414697,0.0162994384765625,0.004400162129559414,15,45,5,"OrderedDict([('model__max_depth', 15), ('model__min_samples_leaf', 45), ('model__min_samples_split', 5)])",0.5954497794880664,0.6878702222414389,0.67252356451055,0.7207164115646258,0.3697862619624121,0.4765165600138361,0.3236508056612475,0.6945472556170922,0.649618623080733,0.26528434418478997,0.5455963828324791,0.16310353404430344,33
31,0.2133472442626953,0.025495382706191894,0.013850545883178711,0.0019758722452260617,17,11,2,"OrderedDict([('model__max_depth', 17), ('model__min_samples_leaf', 11), ('model__min_samples_split', 2)])",0.6722902614435605,0.6180468479764788,0.6964123573158076,0.7531590496368039,0.3592236682808717,0.5315292430531534,0.40243698114839155,0.630079697419965,0.6756351028862173,0.29977576658111577,0.5638588975742366,0.1495645329324456,4
32,0.22449851036071777,0.03463463080174136,0.014799809455871582,0.0018601406248551758,16,11,2,"OrderedDict([('model__max_depth', 16), ('model__min_samples_leaf', 11), ('model__min_samples_split', 2)])",0.668943848725931,0.6150940778853914,0.694260384238441,0.7597149558976133,0.3636573273377147,0.5182156549060302,0.3957846909950421,0.6260723130262507,0.6522445855283894,0.2928209284524292,0.5586808766993234,0.14977347823000436,21
33,0.15574634075164795,0.016210480568489026,0.019801115989685057,0.0055557236178225946,13,60,4,"OrderedDict([('model__max_depth', 13), ('model__min_samples_leaf', 60), ('model__min_samples_split', 4)])",0.5927258085437566,0.5978683846419923,0.6410285512510088,0.6763365833621584,0.36194944079326646,0.5185696630347054,0.3188036867289289,0.6628943221216623,0.659913548561394,0.22086631545769733,0.525095630449657,0.15656290836923797,46
34,0.17514870166778565,0.01783115388137876,0.018852758407592773,0.006539961826763045,13,32,4,"OrderedDict([('model__max_depth', 13), ('model__min_samples_leaf', 32), ('model__min_samples_split', 4)])",0.606606890637611,0.6842968119451168,0.6803468739190592,0.7613516805027095,0.34957356883431345,0.45842521330566127,0.3260486927821976,0.6737502814174434,0.6420856409563691,0.23250033770093204,0.5414985992001412,0.1747821194677037,40
